,Page,Year,Month,Title,Date,URL
0,1,2007,11,British Intelligence Chief Sharpens Terrorism Warning,2007-11-06,https://www.nytimes.com/2007/11/06/world/europe/06britain.html
1,1,2007,8,Study Cites Danger of Homegrown Terrorism,2007-08-15,https://www.nytimes.com/2007/08/15/nyregion/15cnd-terror.html
2,1,2007,1,Southeast Asians Consider Pact Against Terrorism,2007-01-12,https://www.nytimes.com/2007/01/12/world/asia/12asean.html
3,1,2007,3,Connecticut: Indictment in Terrorism Case,2007-03-22,https://www.nytimes.com/2007/03/22/us/22brfs-NAVY.html
4,1,2007,12,Pakistan Says Terrorism Suspect Has Escaped,2007-12-17,https://www.nytimes.com/2007/12/17/world/asia/17cnd-pakistan.html
5,1,2007,11,Australian Judge Dismisses Terrorism Case,2007-11-13,https://www.nytimes.com/2007/11/13/world/asia/13australia.html
6,1,2007,7,England: Terrorism Suspect Is Sentenced,2007-07-18,https://query.nytimes.com/gst/fullpage.html?res=9C03EEDD1731F93BA25754C0A9619C8B63
7,1,2007,7,British Leader Seeks New Terrorism Laws,2007-07-26,https://www.nytimes.com/2007/07/26/world/europe/26britain.html
8,1,2007,4,Indonesia's Fight Against Terrorism,2007-04-12,https://www.nytimes.com/video/weekinreview/1194817104440/indonesia-s-fight-against-terrorism.html
9,1,2007,1,World Briefing | Europe: Britain: Terrorism Suspect On The Run,2007-01-17,https://query.nytimes.com/gst/fullpage.html?res=9C01E0DE1130F934A25752C0A9619C8B63
10,2,2007,6,Theories About Separatist Group Muddy Terrorism Trial in Madrid,2007-06-14,https://www.nytimes.com/2007/06/14/world/europe/14spain.html
11,2,2007,12,Top Bush Terrorism Adviser Is Leaving Unscathed,2007-12-21,https://www.nytimes.com/2007/12/21/washington/21cnd-terrorism.html
12,2,2007,4,Giuliani on Terrorism,2007-04-27,https://query.nytimes.com/gst/fullpage.html?res=9C06E5DE123EF934A15757C0A9619C8B63
13,2,2007,4,Terrorism Police Arrest 6 in London-Area Raids,2007-04-25,https://www.nytimes.com/2007/04/25/world/europe/25london.html
14,2,2007,12,"Bush’s Chief Terrorism Adviser Is Leaving, Unscathed",2007-12-22,https://www.nytimes.com/2007/12/22/washington/22terrorism.html
15,2,2007,9,New Terrorism Case Confirms That Denmark Is a Target,2007-09-17,https://www.nytimes.com/2007/09/17/world/europe/17denmark.html
16,2,2007,2,British Court Frees 2 Arrested as Suspects in Terrorism Plot,2007-02-08,https://www.nytimes.com/2007/02/08/world/europe/08birmingham.html
17,2,2007,9,Poll Results on Terrorism,2007-09-10,https://thecaucus.blogs.nytimes.com/2007/09/10/poll-results-on-terrorism/
18,2,2007,8,2008: Obama on Terrorism,2007-08-01,https://thecaucus.blogs.nytimes.com/2007/08/01/2008-obama-on-terrorism/
19,2,2007,11,"Wanted in Germany, Terrorism Suspect Arrested in Turkey",2007-11-08,https://www.nytimes.com/2007/11/08/world/europe/08terror.html
20,3,2007,4,Jury Selection Is Slow Going in Padilla Terrorism Trial,2007-04-24,https://www.nytimes.com/2007/04/24/us/24padilla.html
21,3,2007,12,War vs. Terrorism Debate in Embassy Bomb Appeal,2007-12-11,https://www.nytimes.com/2007/12/11/nyregion/11appeal.html
22,3,2007,11,"Wanted in Germany, Terrorism Suspect Arrested in Turkey",2007-11-08,https://www.nytimes.com/2007/11/08/world/europe/08terror.html
23,3,2007,7,Britain Convicts 4 in Separate Terrorism Trials,2007-07-06,https://www.nytimes.com/2007/07/06/world/europe/06trials.html
24,3,2007,9,Germany on Tiptoe Over Terror,2007-09-09,https://www.nytimes.com/2007/09/09/weekinreview/09caldwell.html
25,3,2007,9,24-Year Term for Californian in Terrorism Training Case,2007-09-11,https://www.nytimes.com/2007/09/11/us/11lodi.html
26,3,2007,6,Explosion Rocks Nairobi; Signs Point to Terrorism,2007-06-12,https://www.nytimes.com/2007/06/12/world/africa/12kenya.html
27,3,2007,8,New York City Police Report Explores Homegrown Terrorism,2007-08-16,https://www.nytimes.com/2007/08/16/nyregion/16terror.html
28,3,2007,7,Intelligence Estimate on Terrorism Released,2007-07-17,https://thelede.blogs.nytimes.com/2007/07/17/national-intelligence-estimate-day/
29,3,2007,5,Prosecutors Drop All Charges in Boston Terrorism Scare,2007-05-12,https://www.nytimes.com/2007/05/12/us/12boston.html
30,4,2007,5,Prosecutors Drop All Charges in Boston Terrorism Scare,2007-05-12,https://www.nytimes.com/2007/05/12/us/12boston.html
31,4,2007,8,Terrorism on the Rise ,2007-08-12,https://www.nytimes.com/slideshow/2007/08/12/world/asia/20070812_AFGHAN_MAPS_SHOW_index.html
32,4,2007,3,New York Officials Urge Renewal of Federal Terrorism Insurance,2007-03-06,https://www.nytimes.com/2007/03/06/nyregion/06terror.html
33,4,2007,5,Canada: Court Delays Terrorism Suspect’s Deportation,2007-05-12,https://www.nytimes.com/2007/05/12/world/americas/12briefs-deportation.html
34,4,2007,8,Terrorism on the Rise,2007-08-12,https://www.nytimes.com/slideshow/2007/08/12/world/asia/20070812_AFGHAN_MAPS_SHOW_index.html
35,4,2007,4,The Terrorism Fronts | April 8-14,2007-04-15,https://query.nytimes.com/gst/fullpage.html?res=9D03EEDE103FF936A25757C0A9619C8B63
36,4,2007,11,Bloggingheads: The New Social Issue,2007-11-16,https://www.nytimes.com/video/opinion/1194817121057/bloggingheads-the-new-social-issue.html
37,4,2007,7,"Terrorism and the Law: And in Germany, a Necessary Debate",2007-07-15,https://www.nytimes.com/2007/07/15/opinion/15sun2.html
38,4,2007,11,Terrorism Raids Net 20 Suspects,2007-11-07,https://www.nytimes.com/2007/11/07/world/europe/07briefs-RAIDS.html
39,4,2007,3,C.I.A. Awaits Rules on Terrorism Interrogations,2007-03-25,https://www.nytimes.com/2007/03/25/washington/25interrogate.html
40,5,2007,7,"Terrorism and the Law: And in Germany, a Necessary Debate",2007-07-15,https://www.nytimes.com/2007/07/15/opinion/15sun2.html
41,5,2007,5,Indonesia's Fight Against Terrorism,2007-05-30,https://www.nytimes.com/video/world/asia/1194817118605/indonesia-s-fight-against-terrorism.html
42,5,2007,5,World Briefing | Americas: Canada: Court Delays Terrorism Suspect's Deportation,2007-05-12,https://query.nytimes.com/gst/fullpage.html?res=9A00E1D91531F931A25756C0A9619C8B63
43,5,2007,11,Obama: Takes Terrorism 'Deadly Serious',2007-11-19,https://thecaucus.blogs.nytimes.com/2007/11/19/obama-takes-terrorism-deadly-serious/
44,5,2007,1,World Briefing | Europe: Britain: Terrorism Warnings By E-Mail,2007-01-10,https://query.nytimes.com/gst/fullpage.html?res=9801E3DC1230F933A25752C0A9619C8B63
45,5,2007,12,The African Front,2007-12-23,https://www.nytimes.com/2007/12/23/magazine/23kenya-t.html
46,5,2007,12,Defense Ends Its Arguments in Terrorism Trial in Miami,2007-12-01,https://www.nytimes.com/2007/12/01/us/01liberty.html
47,5,2007,1,Attack on U.S. Embassy Revives Greek Fear of Terrorism,2007-01-14,https://www.nytimes.com/2007/01/14/world/europe/14greece.html
48,5,2007,10,Bush Defends Treatment of Terrorism Suspects ,2007-10-05,https://www.nytimes.com/2007/10/05/washington/05cnd-torture.html
49,5,2007,4,Correction: The Terrorism Fronts,2007-04-22,https://www.nytimes.com/2007/04/22/weekinreview/22corx.html
50,6,2007,10,Bush Defends Treatment of Terrorism Suspects ,2007-10-05,https://www.nytimes.com/2007/10/05/washington/05cnd-torture.html
51,6,2007,9,House Approves Plan to Aid Insurers,2007-09-20,https://www.nytimes.com/2007/09/20/business/20insure.html
52,6,2007,4,Indonesia: Gambling That Tolerance Will Trump Fear,2007-04-15,https://www.nytimes.com/2007/04/15/weekinreview/15sims.html
53,6,2007,2,Cheney Warns Pakistan to Act on Terrorism,2007-02-26,https://www.nytimes.com/2007/02/26/world/asia/26cnd-pakistan.html
54,6,2007,6,Indonesia Reports the Arrest of a 2nd Top Terrorism Suspect,2007-06-16,https://www.nytimes.com/2007/06/16/world/asia/16indonesia.html
55,6,2007,12,Australian Terrorism Detainee Leaves Prison,2007-12-29,https://www.nytimes.com/2007/12/29/world/asia/29hicks.html
56,6,2007,5,Germany: No Pardons for 2 in Terrorism Gang,2007-05-08,https://www.nytimes.com/2007/05/08/world/europe/08briefs-terrorism.html
57,6,2007,5,Witness Describes Training Padilla Reportedly Received,2007-05-19,https://www.nytimes.com/2007/05/19/us/19padilla.html
58,6,2007,6,World Briefing | Europe: Terrorism Suspects Held In Italy And Britain,2007-06-08,https://query.nytimes.com/gst/fullpage.html?res=9B07E4D91F30F93BA35755C0A9619C8B63
